Year,Region,Season,Soil Type,Soil pH,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Organic Matter (%),Soil Moisture (%),Avg Rainfall (mm),Solar Radiation Impact (BTU/sqft),Rotation Sequence,Crop_Planted (Action),Growth Duration (days),Water Requirement (mm),Phosphorus Requirement (kg/ha),Potassium Requirement (kg/ha),Nitrogen Requirement (kg/ha),Base Yield (kg/ha),Simulated Yield (kg/ha),Soil Score Before,Soil Score After
2006,Haryana,Zaid,Alluvial,6.6,119.83,23.67,73.39,3.79,19.46,700,24,"['Rice', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,11834.35,0.86,0.88
2010,Arunachal Pradesh,Kharif,Laterite,5.83,113.31,19.02,51.24,1.04,14.7,2500,15,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1141.0,0.64,0.64
2005,Manipur,Rabi,Laterite,5.02,70.04,24.88,48.52,2.22,5.07,1800,17,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1244.16,0.54,0.54
2009,Meghalaya,Zaid,Red,5.88,62.33,29.61,46.98,1.18,16.18,2500,15,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,9795.23,0.62,0.63
2019,Chhattisgarh,Kharif,Red,6.45,89.62,15.7,58.23,1.34,10.65,1300,25,"['Rice', 'Pigeon Pea', 'Chili']",Rice,140,1500,40,60,100,4000,1569.68,0.6,0.6
2013,Assam,Kharif,Alluvial,6.62,120.42,26.09,52.93,4.05,19.4,2200,18,"['Maize', 'Chickpea', 'Chili']",Maize,110,600,35,50,80,6000,4472.96,0.84,0.84
2007,Maharashtra,Kharif,Black,6.52,102.06,48.19,90.35,4.99,23.12,900,26,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,3600.0,1.04,1.04
2009,Sikkim,Zaid,Alluvial,7.43,108.39,20.63,75.27,3.35,18.95,2000,17,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,10313.13,0.84,0.85
2015,West Bengal,Zaid,Alluvial,7.25,96.33,31.41,65.63,4.88,23.45,1500,20,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,15137.11,0.93,0.95
2014,Rajasthan,Rabi,Sandy,6.7,83.15,13.57,28.43,1.54,6.41,400,35,"['Maize', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,678.38,0.5,0.5
